,a_img,a_embedding,b_img,b_embedding,genuine,a_img_reconstructed,a_embedding_reconstructed,b_img_reconstructed,b_embedding_reconstructed,a_img_pemiu,a_embedding_pemiu,b_img_pemiu,b_embedding_pemiu,a_embedding_pemiu_reconstructed,cos_sim_a_b,cos_sim_a_pemiu_a_pemiu_reconstructed,cos_sim_scipy_a_b,cos_sim_a_b_normalized,cos_sim_a_pemiu_a_pemiu_reconstructed_normalized,cos_sim_scipy_a_b_normalized
300,../data/lfw_align/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.png,../data/features_cleaner/Abdel_Madi_Shabneh_0001.npy,../data/lfw_align/Dean_Barker/Dean_Barker_0001.png,../data/features_cleaner/Dean_Barker_0001.npy,False,sample_images/Abdel_Madi_Shabneh_0001_reconstructed.png,sample_images_embeddings/Abdel_Madi_Shabneh_0001_reconstructed.npy,sample_images/Dean_Barker_0001_reconstructed.png,sample_images_embeddings/Dean_Barker_0001_reconstructed.npy,sample_images_lfw_pemiu/Abdel_Madi_Shabneh_0001_pemiu.png,../data/lfw_embeddings_pemiu/Abdel_Madi_Shabneh_0001.npy,sample_images_lfw_pemiu/Dean_Barker_0001_pemiu.png,../data/lfw_embeddings_pemiu/Dean_Barker_0001.npy,../data/lfw_embeddings_pemiu_impostor_reconstructed/0000/Abdel_Madi_Shabneh_0001.npy,0.017006369252714218,0.025281036467715203,0.017,0.20804454786798243,0.21489937158723207,0.20803927151022147
301,../data/lfw_align/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.png,../data/features_cleaner/Abdel_Madi_Shabneh_0001.npy,../data/lfw_align/Giancarlo_Fisichella/Giancarlo_Fisichella_0001.png,../data/features_cleaner/Giancarlo_Fisichella_0001.npy,False,sample_images/Abdel_Madi_Shabneh_0001_reconstructed.png,sample_images_embeddings/Abdel_Madi_Shabneh_0001_reconstructed.npy,sample_images/Giancarlo_Fisichella_0001_reconstructed.png,sample_images_embeddings/Giancarlo_Fisichella_0001_reconstructed.npy,sample_images_lfw_pemiu/Abdel_Madi_Shabneh_0001_pemiu.png,../data/lfw_embeddings_pemiu/Abdel_Madi_Shabneh_0001.npy,sample_images_lfw_pemiu/Giancarlo_Fisichella_0001_pemiu.png,../data/lfw_embeddings_pemiu/Giancarlo_Fisichella_0001.npy,../data/lfw_embeddings_pemiu_impostor_reconstructed/0001/Abdel_Madi_Shabneh_0001.npy,-0.05539997648129164,-0.01500691471652356,-0.055,0.14806234879393845,0.1815243975608405,0.1483936936323302
302,../data/lfw_align/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.png,../data/features_cleaner/Abdel_Madi_Shabneh_0001.npy,../data/lfw_align/Mikhail_Gorbachev/Mikhail_Gorbachev_0001.png,../data/features_cleaner/Mikhail_Gorbachev_0001.npy,False,sample_images/Abdel_Madi_Shabneh_0001_reconstructed.png,sample_images_embeddings/Abdel_Madi_Shabneh_0001_reconstructed.npy,sample_images/Mikhail_Gorbachev_0001_reconstructed.png,sample_images_embeddings/Mikhail_Gorbachev_0001_reconstructed.npy,sample_images_lfw_pemiu/Abdel_Madi_Shabneh_0001_pemiu.png,../data/lfw_embeddings_pemiu/Abdel_Madi_Shabneh_0001.npy,sample_images_lfw_pemiu/Mikhail_Gorbachev_0001_pemiu.png,../data/lfw_embeddings_pemiu/Mikhail_Gorbachev_0001.npy,../data/lfw_embeddings_pemiu_impostor_reconstructed/0002/Abdel_Madi_Shabneh_0001.npy,-0.13129361451137814,0.46646986646794464,-0.131,0.08519123910560493,0.580384964901599,0.08543447253900054
303,../data/lfw_align/Abdul_Rahman/Abdul_Rahman_0001.png,../data/features_cleaner/Abdul_Rahman_0001.npy,../data/lfw_align/Portia_de_Rossi/Portia_de_Rossi_0001.png,../data/features_cleaner/Portia_de_Rossi_0001.npy,False,sample_images/Abdul_Rahman_0001_reconstructed.png,sample_images_embeddings/Abdul_Rahman_0001_reconstructed.npy,sample_images/Portia_de_Rossi_0001_reconstructed.png,sample_images_embeddings/Portia_de_Rossi_0001_reconstructed.npy,sample_images_lfw_pemiu/Abdul_Rahman_0001_pemiu.png,../data/lfw_embeddings_pemiu/Abdul_Rahman_0001.npy,sample_images_lfw_pemiu/Portia_de_Rossi_0001_pemiu.png,../data/lfw_embeddings_pemiu/Portia_de_Rossi_0001.npy,../data/lfw_embeddings_pemiu_impostor_reconstructed/0003/Abdul_Rahman_0001.npy,-0.03658491975772366,0.4715819474728717,-0.037,0.1636489450589734,0.584619868036286,0.16330508810180303
304,../data/lfw_align/Abel_Pacheco/Abel_Pacheco_0001.png,../data/features_cleaner/Abel_Pacheco_0001.npy,../data/lfw_align/Jong_Thae_Hwa/Jong_Thae_Hwa_0002.png,../data/features_cleaner/Jong_Thae_Hwa_0002.npy,False,sample_images/Abel_Pacheco_0001_reconstructed.png,sample_images_embeddings/Abel_Pacheco_0001_reconstructed.npy,sample_images/Jong_Thae_Hwa_0002_reconstructed.png,sample_images_embeddings/Jong_Thae_Hwa_0002_reconstructed.npy,sample_images_lfw_pemiu/Abel_Pacheco_0001_pemiu.png,../data/lfw_embeddings_pemiu/Abel_Pacheco_0001.npy,sample_images_lfw_pemiu/Jong_Thae_Hwa_0002_pemiu.png,../data/lfw_embeddings_pemiu/Jong_Thae_Hwa_0002.npy,../data/lfw_embeddings_pemiu_impostor_reconstructed/0004/Abel_Pacheco_0001.npy,0.061228585241855836,0.45428519637342424,0.061,0.24467870936400013,0.5702910525538333,0.2444893468800439
305,../data/lfw_align/Abel_Pacheco/Abel_Pacheco_0002.png,../data/features_cleaner/Abel_Pacheco_0002.npy,../data/lfw_align/Jean-Francois_Lemounier/Jean-Francois_Lemounier_0001.png,../data/features_cleaner/Jean-Francois_Lemounier_0001.npy,False,sample_images/Abel_Pacheco_0002_reconstructed.png,sample_images_embeddings/Abel_Pacheco_0002_reconstructed.npy,sample_images/Jean-Francois_Lemounier_0001_reconstructed.png,sample_images_embeddings/Jean-Francois_Lemounier_0001_reconstructed.npy,sample_images_lfw_pemiu/Abel_Pacheco_0002_pemiu.png,../data/lfw_embeddings_pemiu/Abel_Pacheco_0002.npy,sample_images_lfw_pemiu/Jean-Francois_Lemounier_0001_pemiu.png,../data/lfw_embeddings_pemiu/Jean-Francois_Lemounier_0001.npy,../data/lfw_embeddings_pemiu_impostor_reconstructed/0005/Abel_Pacheco_0002.npy,-0.11579797663221665,0.4468576424939978,-0.116,0.09802799293739838,0.564137986673867,0.09786063459689455
306,../data/lfw_align/Afton_Smith/Afton_Smith_0001.png,../data/features_cleaner/Afton_Smith_0001.npy,../data/lfw_align/Dwayne_Wade/Dwayne_Wade_0001.png,../data/features_cleaner/Dwayne_Wade_0001.npy,False,sample_images/Afton_Smith_0001_reconstructed.png,sample_images_embeddings/Afton_Smith_0001_reconstructed.npy,sample_images/Dwayne_Wade_0001_reconstructed.png,sample_images_embeddings/Dwayne_Wade_0001_reconstructed.npy,sample_images_lfw_pemiu/Afton_Smith_0001_pemiu.png,../data/lfw_embeddings_pemiu/Afton_Smith_0001.npy,sample_images_lfw_pemiu/Dwayne_Wade_0001_pemiu.png,../data/lfw_embeddings_pemiu/Dwayne_Wade_0001.npy,../data/lfw_embeddings_pemiu_impostor_reconstructed/0006/Afton_Smith_0001.npy,0.06698053761532556,0.4530975708500561,0.067,0.24944368885346832,0.5693072107393357,0.2494598117032015
307,../data/lfw_align/Ahmad_Jbarah/Ahmad_Jbarah_0001.png,../data/features_cleaner/Ahmad_Jbarah_0001.npy,../data/lfw_align/James_Comey/James_Comey_0001.png,../data/features_cleaner/James_Comey_0001.npy,False,sample_images/Ahmad_Jbarah_0001_reconstructed.png,sample_images_embeddings/Ahmad_Jbarah_0001_reconstructed.npy,sample_images/James_Comey_0001_reconstructed.png,sample_images_embeddings/James_Comey_0001_reconstructed.npy,sample_images_lfw_pemiu/Ahmad_Jbarah_0001_pemiu.png,../data/lfw_embeddings_pemiu/Ahmad_Jbarah_0001.npy,sample_images_lfw_pemiu/James_Comey_0001_pemiu.png,../data/lfw_embeddings_pemiu/James_Comey_0001.npy,../data/lfw_embeddings_pemiu_impostor_reconstructed/0007/Ahmad_Jbarah_0001.npy,-0.18892980499019552,0.4515916833564516,-0.189,0.03744479621964275,0.5680597172702366,0.03738664591514368
308,../data/lfw_align/Akhmed_Zakayev/Akhmed_Zakayev_0002.png,../data/features_cleaner/Akhmed_Zakayev_0002.npy,../data/lfw_align/Donna_Morrissey/Donna_Morrissey_0001.png,../data/features_cleaner/Donna_Morrissey_0001.npy,False,sample_images/Akhmed_Zakayev_0002_reconstructed.png,sample_images_embeddings/Akhmed_Zakayev_0002_reconstructed.npy,sample_images/Donna_Morrissey_0001_reconstructed.png,sample_images_embeddings/Donna_Morrissey_0001_reconstructed.npy,sample_images_lfw_pemiu/Akhmed_Zakayev_0002_pemiu.png,../data/lfw_embeddings_pemiu/Akhmed_Zakayev_0002.npy,sample_images_lfw_pemiu/Donna_Morrissey_0001_pemiu.png,../data/lfw_embeddings_pemiu/Donna_Morrissey_0001.npy,../data/lfw_embeddings_pemiu_impostor_reconstructed/0008/Akhmed_Zakayev_0002.npy,-0.08395471957393173,0.4282045312243645,-0.084,0.1244072911145601,0.5486855477725077,0.12436978032040177
309,../data/lfw_align/Alan_Dershowitz/Alan_Dershowitz_0001.png,../data/features_cleaner/Alan_Dershowitz_0001.npy,../data/lfw_align/Bertrand_Bonello/Bertrand_Bonello_0001.png,../data/features_cleaner/Bertrand_Bonello_0001.npy,False,sample_images/Alan_Dershowitz_0001_reconstructed.png,sample_images_embeddings/Alan_Dershowitz_0001_reconstructed.npy,sample_images/Bertrand_Bonello_0001_reconstructed.png,sample_images_embeddings/Bertrand_Bonello_0001_reconstructed.npy,sample_images_lfw_pemiu/Alan_Dershowitz_0001_pemiu.png,../data/lfw_embeddings_pemiu/Alan_Dershowitz_0001.npy,sample_images_lfw_pemiu/Bertrand_Bonello_0001_pemiu.png,../data/lfw_embeddings_pemiu/Bertrand_Bonello_0001.npy,../data/lfw_embeddings_pemiu_impostor_reconstructed/0009/Alan_Dershowitz_0001.npy,0.1142062086906428,0.47258705895300923,0.114,0.288565944991781,0.5854525132455152,0.2883951194846027
